Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
125779,8.01494E+12,LIVORNO CUCITO LIZARD   GOLD MEDIUM 16,A01U2116372041CR16,I,"17,69",0,46,0,,1,N,N,N,Y,leren banden, , ,S
125781,8.01494E+12,LIVORNO CUCITO LIZARD   BLACK       18,A01U2116372019CR18,I,"17,69",0,46,0,,1,N,N,N,Y,leren banden, , ,S
125785,8.01494E+12,SAMOA BI PLATED PLATED    ANS.DR.14  99,A02D00440090140099,I,"14,23",0,37,1,,1,N,N,N,Y,metalen banden, , ,S
125770,8.01494E+12,POINT PRINTING LIZARD     BLACK       10,A01D0112402019CR10,I,"7,69",0,20,0,,1,N,N,N,Y,leren banden, , ,S
125775,8.01494E+12,LIVORNO CUCITO LIZARD   GOLD MEDIUM 12,A01D2116372041CR12,I,"17,69",0,46,0,,1,N,N,N,Y,leren banden, , ,S
700045,,MORELLATO BANDEN BOX 72 ST.,21100507,I,200,0,0,4,,1,N,N,N,Y,display/diversen, , ,S
700053,,TECH COUNTER DISPLAY,21100476,I,46,0,0,3,,1,N,N,N,Y,display/diversen, , ,S
700000,,Horlogebanden,,I,0,0,0,0,,1,N,N,N,Y,display/diversen, , ,S
700001,,Horlogebanden diversen  *         *,,I,0,0,0,2,,1,N,N,N,Y,display/diversen, , ,S
700005,,SET MORELLATO BANDEN 40 ST.,,I,295,0,0,0,,1,N,N,N,Y,display/diversen, , ,S
700010,,MORELLATO GESPEN ASS.,,I,26,0,0,0,,1,N,N,N,Y,display/diversen, , ,S
700040,,STAR DISPLAY KOLOM,21100512,I,350,0,0,6,,1,N,N,N,Y,display/diversen, , ,S
700041,,STAR DISPLAY TOP,21100513,I,500,0,0,6,,1,N,N,N,Y,display/diversen, , ,S
700042,,HELPY DISPLAY KOLOM,21100411,I,400,0,0,38,,1,N,N,N,Y,display/diversen, , ,S
700043,,HELPY DISPLAY TOP,21100409,I,195,0,0,45,,1,N,N,N,Y,display/diversen, , ,S
700044,,MORELLATO BANDEN BOX 70 ST.,21004613,I,116,0,0,12,,1,N,N,N,Y,display/diversen, , ,S
700046,,MORELLATO BANDEN DISPLAY 12 ST.,21100508,I,50,0,0,13,,1,N,N,N,Y,display/diversen, , ,S
700047,,MORELLATO TAILER MADE CASE,21100506,I,370,0,370,20,,1,N,N,N,Y,display/diversen, , ,S
700048,,MORELLATO TAILER MADE BLOC,20100261,I,0,0,7,31,,1,N,N,N,Y,display/diversen, , ,S
700052,,BIRCHWOOD DRAWER UNIT,21100451,I,265,0,0,1,,1,N,N,N,Y,display/diversen, , ,S
700054,,TECH BIG DISPLAY,21100494,I,190,0,0,0,,1,N,N,N,Y,display/diversen, , ,S
188918,8.03329E+12,GELSO GRANA VACCHETTA BLU MM. 12,A01X4219A97062CR12,I,"6,54",0,17,0,,1,N,N,N,Y,leren banden, , ,S
125780,8.01494E+12,LIVORNO CUCITO LIZARD   DARK BROWN 16,A01U2116372030CR16,I,"17,69",0,46,0,,1,N,N,N,Y,leren banden, , ,S
125791,8.01494E+12,LIVERPOOL XL PRINTING COCCOD LIGHT BROWN 16,A01K0751376037CR16,I,"11,54",0,30,1,,1,N,N,N,Y,leren banden, , ,S
125792,8.01494E+12,LIVERPOOL XL PRINTING COCCOD BLACK       16,A01K0751376019CR16,I,"11,54",0,30,1,,1,N,N,N,Y,leren banden, , ,S
125815,8.01494E+12,GRAFIC GENUINE LEATHER      GREEN PIS. 22,A01U0969087078CR22,I,"10,38",0,27,0,,1,N,N,N,Y,leren banden, , ,S
188917,8.03329E+12,GELSO GRANA VACCHETTA GOLD DARK MM. 20,A01X4219A97040CR20,I,"6,54",0,17,0,,1,N,N,N,Y,leren banden, , ,S
